sepal_length,sepal_width,petal_length,petal_width,predict_result,predict_proba
5.1,3.5,1.4,0.2,setosa,"[1.0, 0.0, 0.0]"
4.9,3.0,1.4,0.2,setosa,"[0.9818055555555556, 0.018194444444444444, 0.0]"
4.7,3.2,1.3,0.2,setosa,"[0.99125, 0.00875, 0.0]"
4.6,3.1,1.5,0.2,setosa,"[0.9818055555555556, 0.018194444444444444, 0.0]"
5.0,3.6,1.4,0.2,setosa,"[1.0, 0.0, 0.0]"
5.4,3.9,1.7,0.4,setosa,"[1.0, 0.0, 0.0]"
4.6,3.4,1.4,0.3,setosa,"[1.0, 0.0, 0.0]"
5.0,3.4,1.5,0.2,setosa,"[1.0, 0.0, 0.0]"
4.4,2.9,1.4,0.2,setosa,"[0.9818055555555556, 0.018194444444444444, 0.0]"
4.9,3.1,1.5,0.1,setosa,"[0.9818055555555556, 0.018194444444444444, 0.0]"
5.4,3.7,1.5,0.2,setosa,"[1.0, 0.0, 0.0]"
4.8,3.4,1.6,0.2,setosa,"[1.0, 0.0, 0.0]"
4.8,3.0,1.4,0.1,setosa,"[0.9818055555555556, 0.018194444444444444, 0.0]"
4.3,3.0,1.1,0.1,setosa,"[0.9818055555555556, 0.018194444444444444, 0.0]"
5.8,4.0,1.2,0.2,setosa,"[0.9326370468611848, 0.06602961980548189, 0.0013333333333333333]"
5.7,4.4,1.5,0.4,setosa,"[0.9426370468611848, 0.05736295313881521, 0.0]"
5.4,3.9,1.3,0.4,setosa,"[1.0, 0.0, 0.0]"
5.1,3.5,1.4,0.3,setosa,"[1.0, 0.0, 0.0]"
5.7,3.8,1.7,0.3,setosa,"[0.9326370468611848, 0.06736295313881521, 0.0]"
5.1,3.8,1.5,0.3,setosa,"[1.0, 0.0, 0.0]"
5.4,3.4,1.7,0.2,setosa,"[1.0, 0.0, 0.0]"
5.1,3.7,1.5,0.4,setosa,"[1.0, 0.0, 0.0]"
4.6,3.6,1.0,0.2,setosa,"[1.0, 0.0, 0.0]"
5.1,3.3,1.7,0.5,setosa,"[1.0, 0.0, 0.0]"
4.8,3.4,1.9,0.2,setosa,"[1.0, 0.0, 0.0]"
5.0,3.0,1.6,0.2,setosa,"[0.9818055555555556, 0.018194444444444444, 0.0]"
5.0,3.4,1.6,0.4,setosa,"[1.0, 0.0, 0.0]"
5.2,3.5,1.5,0.2,setosa,"[1.0, 0.0, 0.0]"
5.2,3.4,1.4,0.2,setosa,"[1.0, 0.0, 0.0]"
4.7,3.2,1.6,0.2,setosa,"[0.99125, 0.00875, 0.0]"
