sepal_length,sepal_width,petal_length,petal_width,predict_result,predict_proba
5.1,3.5,1.4,0.2,setosa,"[1.0, 0.0, 0.0]"
4.9,3.0,1.4,0.2,setosa,"[1.0, 0.0, 0.0]"
4.7,3.2,1.3,0.2,setosa,"[1.0, 0.0, 0.0]"
4.6,3.1,1.5,0.2,setosa,"[1.0, 0.0, 0.0]"
5.0,3.6,1.4,0.2,setosa,"[1.0, 0.0, 0.0]"
5.4,3.9,1.7,0.4,setosa,"[1.0, 0.0, 0.0]"
4.6,3.4,1.4,0.3,setosa,"[1.0, 0.0, 0.0]"
5.0,3.4,1.5,0.2,setosa,"[1.0, 0.0, 0.0]"
4.4,2.9,1.4,0.2,setosa,"[1.0, 0.0, 0.0]"
4.9,3.1,1.5,0.1,setosa,"[1.0, 0.0, 0.0]"
5.4,3.7,1.5,0.2,setosa,"[1.0, 0.0, 0.0]"
4.8,3.4,1.6,0.2,setosa,"[1.0, 0.0, 0.0]"
4.8,3.0,1.4,0.1,setosa,"[1.0, 0.0, 0.0]"
4.3,3.0,1.1,0.1,setosa,"[1.0, 0.0, 0.0]"
5.8,4.0,1.2,0.2,setosa,"[0.9177468230694038, 0.07725317693059629, 0.005]"
5.7,4.4,1.5,0.4,setosa,"[0.9177468230694038, 0.07725317693059629, 0.005]"
5.4,3.9,1.3,0.4,setosa,"[1.0, 0.0, 0.0]"
5.1,3.5,1.4,0.3,setosa,"[1.0, 0.0, 0.0]"
5.7,3.8,1.7,0.3,setosa,"[0.8877468230694038, 0.10725317693059627, 0.005]"
5.1,3.8,1.5,0.3,setosa,"[1.0, 0.0, 0.0]"
5.4,3.4,1.7,0.2,setosa,"[1.0, 0.0, 0.0]"
5.1,3.7,1.5,0.4,setosa,"[1.0, 0.0, 0.0]"
4.6,3.6,1.0,0.2,setosa,"[1.0, 0.0, 0.0]"
5.1,3.3,1.7,0.5,setosa,"[1.0, 0.0, 0.0]"
4.8,3.4,1.9,0.2,setosa,"[1.0, 0.0, 0.0]"
5.0,3.0,1.6,0.2,setosa,"[1.0, 0.0, 0.0]"
5.0,3.4,1.6,0.4,setosa,"[1.0, 0.0, 0.0]"
5.2,3.5,1.5,0.2,setosa,"[1.0, 0.0, 0.0]"
5.2,3.4,1.4,0.2,setosa,"[1.0, 0.0, 0.0]"
4.7,3.2,1.6,0.2,setosa,"[1.0, 0.0, 0.0]"
4.8,3.1,1.6,0.2,setosa,"[1.0, 0.0, 0.0]"
5.4,3.4,1.5,0.4,setosa,"[1.0, 0.0, 0.0]"
5.2,4.1,1.5,0.1,setosa,"[1.0, 0.0, 0.0]"
5.5,4.2,1.4,0.2,setosa,"[0.9527468230694037, 0.04725317693059629, 0.0]"
4.9,3.1,1.5,0.2,setosa,"[1.0, 0.0, 0.0]"
5.0,3.2,1.2,0.2,setosa,"[1.0, 0.0, 0.0]"
5.5,3.5,1.3,0.2,setosa,"[0.9427468230694038, 0.05725317693059629, 0.0]"
4.9,3.6,1.4,0.1,setosa,"[1.0, 0.0, 0.0]"
4.4,3.0,1.3,0.2,setosa,"[1.0, 0.0, 0.0]"
5.1,3.4,1.5,0.2,setosa,"[1.0, 0.0, 0.0]"
5.0,3.5,1.3,0.3,setosa,"[1.0, 0.0, 0.0]"
4.5,2.3,1.3,0.3,setosa,"[0.96, 0.03, 0.01]"
4.4,3.2,1.3,0.2,setosa,"[1.0, 0.0, 0.0]"
5.0,3.5,1.6,0.6,setosa,"[1.0, 0.0, 0.0]"
5.1,3.8,1.9,0.4,setosa,"[1.0, 0.0, 0.0]"
4.8,3.0,1.4,0.3,setosa,"[1.0, 0.0, 0.0]"
5.1,3.8,1.6,0.2,setosa,"[1.0, 0.0, 0.0]"
4.6,3.2,1.4,0.2,setosa,"[1.0, 0.0, 0.0]"
5.3,3.7,1.5,0.2,setosa,"[1.0, 0.0, 0.0]"
5.0,3.3,1.4,0.2,setosa,"[1.0, 0.0, 0.0]"
7.0,3.2,4.7,1.4,versicolor,"[0.0003225806451612903, 0.9585542546576399, 0.04112316469719883]"
6.4,3.2,4.5,1.5,versicolor,"[0.0018377321603128055, 0.9729442755562816, 0.025217992283405728]"
6.9,3.1,4.9,1.5,versicolor,"[0.0, 0.8247820077165943, 0.1752179922834057]"
5.5,2.3,4.0,1.3,versicolor,"[0.012746823069403715, 0.9644015452980339, 0.022851631632562323]"
6.5,2.8,4.6,1.5,versicolor,"[0.0018377321603128055, 0.9774897301017361, 0.02067253773795118]"
5.7,2.8,4.5,1.3,versicolor,"[0.0027468230694037143, 0.991246783393272, 0.006006393537324222]"
6.3,3.3,4.7,1.6,versicolor,"[0.0015151515151515152, 0.8420993477839344, 0.15638550070091414]"
4.9,2.4,3.3,1.0,versicolor,"[0.04, 0.7864706275036503, 0.1735293724963497]"
6.6,2.9,4.6,1.3,versicolor,"[0.0018377321603128055, 0.9812397301017362, 0.01692253773795118]"
5.2,2.7,3.9,1.4,versicolor,"[0.02, 0.9553507493198186, 0.02464925068018137]"
5.0,2.0,3.5,1.0,versicolor,"[0.04, 0.8792932081488115, 0.08070679185118841]"
5.9,3.0,4.2,1.5,versicolor,"[0.0027468230694037143, 0.9874967833932721, 0.009756393537324222]"
6.0,2.2,4.0,1.0,versicolor,"[0.0027468230694037143, 0.947224125943195, 0.05002905098740103]"
6.1,2.9,4.7,1.4,versicolor,"[0.0027468230694037143, 0.991246783393272, 0.006006393537324222]"
